"dataset","configuration","seed","logit_source","calibration","temperature","test_samples","accuracy_pct","ece15_pct","nll","multiclass_brier","aurc"
"MultiCrop-88","flat","2030","native_manifest_val_test_logits","temperature_scaled","2.001359817597289","7769","97.76032951473806","0.5402561535881972","0.08805624479139455","0.03626722411797869","0.0015526133592757177"
"MultiCrop-88","flat","2031","native_manifest_val_test_logits","raw","1.0","7769","97.68309949800489","1.7575184871747016","0.13634010350854955","0.04081643327495225","0.0016131344566686"
"MultiCrop-88","flat","2031","native_manifest_val_test_logits","temperature_scaled","1.9992240780394748","7769","97.68309949800489","0.7014552512565615","0.08723614163304323","0.03647313531208081","0.0017885300807568155"
"MultiCrop-88","flat","2032","native_manifest_val_test_logits","raw","1.0","7769","97.69597116746041","1.6865243422139706","0.13440425165624514","0.03966202945159172","0.0012253978853817866"
"MultiCrop-88","flat","2032","native_manifest_val_test_logits","temperature_scaled","1.9752906897877516","7769","97.69597116746041","0.6079564508532226","0.0868150434065619","0.03674349037659596","0.001434961983263573"
"MultiCrop-88","flat","2033","native_manifest_val_test_logits","raw","1.0","7769","97.6444844896383","1.8220312448957596","0.13672233720144458","0.04082964829941111","0.0014737591464743607"
"MultiCrop-88","flat","2033","native_manifest_val_test_logits","temperature_scaled","1.9525492665234285","7769","97.6444844896383","0.6411885082402726","0.08879250539200605","0.03704647308351893","0.0016451900066721988"
"MultiCrop-88","flat","2034","native_manifest_val_test_logits","raw","1.0","7769","97.79894452310465","1.514092502762552","0.1198307076641511","0.037882552767176954","0.0013368953470334554"
"MultiCrop-88","flat","2034","native_manifest_val_test_logits","temperature_scaled","1.8996817866017797","7769","97.79894452310465","0.49225345870959386","0.0830153361719007","0.03475111813195643","0.0015233156176124682"
"MultiCrop-88","flat","2035","native_manifest_val_test_logits","raw","1.0","7769","97.69597116746041","1.6798455610562126","0.12604947325314783","0.0399679829417788","0.001576588164775341"
"MultiCrop-88","flat","2035","native_manifest_val_test_logits","temperature_scaled","1.8789876397085392","7769","97.69597116746041","0.6406220787978432","0.08577347348630202","0.03665768469402443","0.0016234364602350586"
"MultiCrop-88","dual_none","2026","native_manifest_val_test_logits","raw","1.0","7769","97.54151113399408","1.8722822666795202","0.1387000683261281","0.042425569352909594","0.0012745409833954022"
"MultiCrop-88","dual_none","2026","native_manifest_val_test_logits","temperature_scaled","1.9501020225774335","7769","97.54151113399408","0.7725701264343122","0.09028264867390354","0.03860186282820354","0.0013592281848098077"
"MultiCrop-88","dual_none","2027","native_manifest_val_test_logits","raw","1.0","7769","97.68309949800489","1.6660381288826984","0.12982569928606677","0.03976208052943303","0.0012728461461098172"
"MultiCrop-88","dual_none","2027","native_manifest_val_test_logits","temperature_scaled","1.969586022666724","7769","97.68309949800489","0.5346414782935545","0.08545549527775115","0.03615817916182936","0.0013599150129062541"
"MultiCrop-88","dual_none","2028","native_manifest_val_test_logits","raw","1.0","7769","97.65735615909384","1.626491505029872","0.1298752652519379","0.03957499201212059","0.001374141852470658"
"MultiCrop-88","dual_none","2028","native_manifest_val_test_logits","temperature_scaled","1.9213471294369744","7769","97.65735615909384","0.6322661385332518","0.0873263486533553","0.037103915228864866","0.0014763124794442352"
"MultiCrop-88","dual_none","2029","native_manifest_val_test_logits","raw","1.0","7769","97.76032951473806","1.5113817014076465","0.1204757666005278","0.03693824991982505","0.0011898454871626658"
"MultiCrop-88","dual_none","2029","native_manifest_val_test_logits","temperature_scaled","1.8867415452230052","7769","97.76032951473806","0.4398652184076538","0.0840720390120543","0.03480436526959279","0.0012385263685727463"
"MultiCrop-88","dual_none","2030","native_manifest_val_test_logits","raw","1.0","7769","97.6444844896383","1.6922177301555","0.12342233781331152","0.039298205714450384","0.0012558969799913958"
"MultiCrop-88","dual_none","2030","native_manifest_val_test_logits","temperature_scaled","1.930836314622211","7769","97.6444844896383","0.661498375722652","0.08306931291978524","0.03618520200796163","0.0014141503150520917"
"MultiCrop-88","dual_none","2031","native_manifest_val_test_logits","raw","1.0","7769","97.74745784528254","1.6048968911506791","0.12768645521175154","0.03859437864015081","0.0012797186762891696"
"MultiCrop-88","dual_none","2031","native_manifest_val_test_logits","temperature_scaled","1.955550989878226","7769","97.74745784528254","0.580356438483675","0.084753922629671","0.03577084259161634","0.001300764458484969"
"MultiCrop-88","dual_none","2032","native_manifest_val_test_logits","raw","1.0","7769","97.88904620929334","1.472340938078809","0.1220693253284125","0.03574876898352902","0.0011782340547244817"
"MultiCrop-88","dual_none","2032","native_manifest_val_test_logits","temperature_scaled","1.989712574170052","7769","97.88904620929334","0.5656589945677858","0.08108240558616067","0.0338008690302925","0.001310274085292736"
"MultiCrop-88","dual_none","2033","native_manifest_val_test_logits","raw","1.0","7769","97.81181619256017","1.540774184397173","0.12843834966165354","0.03704157215322509","0.0012626169879518705"
"MultiCrop-88","dual_none","2033","native_manifest_val_test_logits","temperature_scaled","1.957984656977257","7769","97.81181619256017","0.606361755683013","0.08490981918127673","0.0349146780277155","0.001349176393120386"
"MultiCrop-88","dual_none","2034","native_manifest_val_test_logits","raw","1.0","7769","97.68309949800489","1.651079425533428","0.1288529592329601","0.0393384372513701","0.0012752021896619932"
"MultiCrop-88","dual_none","2034","native_manifest_val_test_logits","temperature_scaled","1.9481855959797363","7769","97.68309949800489","0.6018281975202915","0.08582187720647447","0.03616454627033847","0.0014320232175711327"
"MultiCrop-88","dual_none","2035","native_manifest_val_test_logits","raw","1.0","7769","97.65735615909384","1.6521821114251969","0.12593176279560006","0.03912435723568611","0.0013611206483617523"
"MultiCrop-88","dual_none","2035","native_manifest_val_test_logits","temperature_scaled","1.8995180921450876","7769","97.65735615909384","0.6349219727204215","0.08704082594009957","0.036200594516613005","0.001424183773653491"
"Agri-Foundation-145k","flat","2031","native_manifest_val_test_logits","raw","1.0","29041","92.06294549085776","5.647327536845949","0.49437761648569434","0.13199769947668158","0.00723985613099034"
"Agri-Foundation-145k","flat","2031","native_manifest_val_test_logits","temperature_scaled","2.148367753546687","29041","92.06294549085776","1.7532894291432035","0.31516719541444155","0.11505754746073359","0.007489392254673744"
"Agri-Foundation-145k","flat","2032","native_manifest_val_test_logits","raw","1.0","29041","92.19379497951172","5.5913542416507","0.48985542316852293","0.13083039799242668","0.007023628494391221"
"Agri-Foundation-145k","flat","2032","native_manifest_val_test_logits","temperature_scaled","2.205860420019075","29041","92.19379497951172","1.7196914367035716","0.30769661939324555","0.1130528715722698","0.007122177889582483"
"Agri-Foundation-145k","flat","2033","native_manifest_val_test_logits","raw","1.0","29041","92.29365379980028","5.488025045956843","0.4967154407391557","0.12967035552924513","0.007077792705611206"
"Agri-Foundation-145k","flat","2033","native_manifest_val_test_logits","temperature_scaled","2.2026250054996432","29041","92.29365379980028","1.8966002460602354","0.3114982148152388","0.11343673847894777","0.007221950775432473"
"Agri-Foundation-145k","flat","2034","native_manifest_val_test_logits","raw","1.0","29041","92.20412520230019","5.549208606043833","0.4878308503302089","0.13007278315038756","0.007048278372823306"
"Agri-Foundation-145k","flat","2034","native_manifest_val_test_logits","temperature_scaled","2.1909294910648045","29041","92.20412520230019","1.7272587997877762","0.3081974757265929","0.11322521155676414","0.007137723586754366"
"Agri-Foundation-145k","flat","2035","native_manifest_val_test_logits","raw","1.0","29041","92.29709720739643","5.498206649578669","0.48846974274496","0.12934436779748937","0.006882521493660993"
