"dataset","configuration","seed","calibration","nonempty_bin_index","mean_confidence","observed_accuracy","sample_fraction"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","5","0.7006355343636916","0.65","0.0021429336762027215"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","6","0.7714613160030956","0.88","0.002678667095253402"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","7","0.8323996659975328","0.8333333333333334","0.004500160720025715"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","8","0.9039846866542854","0.8769230769230769","0.0069645344476588445"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","9","0.9993094338462487","0.9986888111888111","0.9806064502303654"
"NPD-Rice-COCO-43","flat","2035","raw","0","0.4480029177628716","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2035","raw","1","0.5002285646610674","0.4","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2035","raw","2","0.5612849121507035","0.375","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2035","raw","3","0.6267400295190352","0.2","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2035","raw","4","0.6930404392150237","0.5333333333333333","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2035","raw","5","0.7807889765773154","0.45454545454545453","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2035","raw","6","0.8292385495557372","0.5555555555555556","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2035","raw","7","0.9003237207323372","0.7692307692307693","0.001392906889531769"
"NPD-Rice-COCO-43","flat","2035","raw","8","0.9996751858775358","0.9976257284696741","0.9928211721847209"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","0","0.3765118713178224","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","1","0.4386825918178352","0.16666666666666666","0.0006428801028608164"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","2","0.4999956304825992","0.5","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","3","0.5654160969121033","0.5","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","4","0.6337576549491918","0.5","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","5","0.6971283324956089","0.6666666666666666","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","6","0.771445556335609","0.75","0.0017143469409621772"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","7","0.8350846367196255","0.8717948717948718","0.004178720668595307"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","8","0.9051927730579359","0.8732394366197183","0.007607414550519662"
"NPD-Rice-COCO-43","flat","2035","temperature_scaled","9","0.9993224960599338","0.9992348054219502","0.9801778634951248"
"NPD-Rice-COCO-43","dual_none","2026","raw","0","0.4451313042824949","0.5","0.0004285867352405443"
"NPD-Rice-COCO-43","dual_none","2026","raw","1","0.5033889923530772","0.8","0.0005357334190506804"
"NPD-Rice-COCO-43","dual_none","2026","raw","2","0.5735884390232286","0.5","0.0008571734704810886"
"NPD-Rice-COCO-43","dual_none","2026","raw","3","0.6157171885725518","0.3333333333333333","0.0006428801028608164"
"NPD-Rice-COCO-43","dual_none","2026","raw","4","0.707225987808802","0.6153846153846154","0.001392906889531769"
"NPD-Rice-COCO-43","dual_none","2026","raw","5","0.7668531915859921","0.75","0.0012857602057216328"
"NPD-Rice-COCO-43","dual_none","2026","raw","6","0.8425911008290377","0.8421052631578947","0.0020357869923925856"
"NPD-Rice-COCO-43","dual_none","2026","raw","7","0.9026541599838754","0.64","0.002678667095253402"
"NPD-Rice-COCO-43","dual_none","2026","raw","8","0.9995931252465436","0.9967535980954442","0.9901425050894674"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","0","0.38895750059092893","0.3333333333333333","0.0003214400514304082"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","1","0.4406867786749565","1.0","0.0003214400514304082"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","2","0.5041826142318693","0.45454545454545453","0.0011786135219114969"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","3","0.5671303308825448","0.6666666666666666","0.0009643201542912247"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","4","0.638913545594149","0.631578947368421","0.0020357869923925856"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","5","0.7099348442246918","0.7647058823529411","0.0018214936247723133"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","6","0.7666092557788842","0.7647058823529411","0.0018214936247723133"
