class_index,class_name,host_name,training_images,test_images,frequency_bin,dual_f1_pct_mean,flat_f1_pct_mean,dual_minus_flat_f1_pp
43,carrot_carrot_cavity_spot,carrot,46,15,26--100,93.14539965040521,92.0846443137878,1.0607553366174045
96,eggplant_eggplant_phytophthora_blight,eggplant,21,7,1--25,69.14685314685315,68.17349317349317,0.973359973359976
119,lettuce_mosaic_virus,lettuce,33,11,26--100,34.63377041637911,33.67705627705628,0.9567141393228269
66,citrus_citrus_canker,citrus,248,78,101--500,84.26279738174955,83.3079131220398,0.9548842597097433
26,blueberry_botrytis_blight,blueberry,22,8,1--25,74.3070818070818,73.38369963369964,0.9233821733821657
203,wheat_wheat_rust,wheat,82,26,26--100,74.15721349368587,73.28931266124368,0.8679008324421886
83,corn_rust,corn,218,69,101--500,84.17209074683977,83.38756605591428,0.7845246909254939
85,cucumber,cucumber,221,69,101--500,78.48316730273639,77.72492803761179,0.758239265124601
36,cabbage,cabbage,292,92,101--500,86.26269794393673,85.5610147997852,0.7016831441515308
120,maple,maple,202,64,101--500,92.44197120585518,91.78614739460079,0.6558238112543933
9,banana_banana_black_streak_banana_black_sigatoka_(),banana,47,15,26--100,35.419681163396405,34.78206978206978,0.6376113813266215
32,broccoli_broccoli_alternaria_spot,broccoli,39,13,26--100,19.827318419643227,19.201918295235604,0.6254001244076228
115,lettuce,lettuce,154,49,101--500,84.6883141977806,84.0862319837487,0.6020822140318955
70,coffee_coffee_berry_blotch,coffee,71,23,26--100,88.59385334152162,87.99794332448698,0.5959100170346403
148,potato_early_blight,potato,1758,550,>500,95.2885689090439,94.73372500470064,0.554843904343258
4,apple_rust,apple,250,79,101--500,77.66051891119388,77.19316814759765,0.4673507635962295
157,rice_blast,rice,42,13,26--100,38.713125039211995,38.24846892238197,0.46465611683002805
15,basil,basil,376,118,101--500,92.36339591193838,91.90755833484957,0.4558375770888148
97,garlic,garlic,145,46,101--500,83.87814010301676,83.47343517365611,0.4047049293606477
150,potato_late_blight,potato,1760,550,>500,96.32289069654726,95.94018092263028,0.3827097739169858
92,eggplant,eggplant,154,48,101--500,78.206882622883,77.82502329784724,0.38185932503576225
130,peach_scab,peach,48,15,26--100,88.93138760880696,88.56582242789139,0.3655651809155671
175,tobacco_tobacco_blue_mold,tobacco,37,12,26--100,71.54384423949641,71.18810175331915,0.3557424861772631
134,pepper_bell_bacterial_spot,pepper,638,200,>500,99.8007450325721,99.50147793274739,0.29926709982470356
55,celery,celery,134,42,101--500,92.41672059341687,92.15960845679744,0.2571121366194262
187,tomato_spider_mites_two-spotted_spider_mite,tomato,320,100,101--500,99.8009875989474,99.54671594062579,0.25427165832161336
185,tomato_mosaic_virus,tomato,1582,495,>500,94.80360998801744,94.55726545523738,0.24634453278005708
132,"pepper_,_bell_healthy",pepper,645,202,>500,99.77789941008332,99.53280049618189,0.24509891390142968
107,grape_black_rot,grape,1690,529,>500,98.30010982576081,98.05810462836364,0.24200519739717663
5,apple_scab,apple,1854,580,>500,95.79604856628954,95.57369359192369,0.2223549743658566
128,peach_healthy,peach,1553,486,>500,97.98816580147786,97.77461173878456,0.213554062693305
186,tomato_septoria_spot,tomato,1618,506,>500,93.44180313639373,93.24050447391112,0.20129866248261408
102,ginger,ginger,112,35,101--500,72.65616072727694,72.48870176114758,0.1674589661293595
131,"pepper_,_bell_bacterial_spot",pepper,892,279,>500,99.92837941566596,99.78590424866428,0.1424751670016775
165,soybean_healthy,soybean,1809,566,>500,97.25805036198663,97.12343213192426,0.1346182300623724
50,cassava_mosaic_disease,cassava,8421,2632,>500,95.19989370970676,95.075204221558,0.12468948814876057
149,potato_healthy,potato,1618,506,>500,97.41438133698277,97.29013425805223,0.12424707893053721
188,tomato_spider_mites_two_spotted_spider_mite,tomato,1072,336,>500,99.34278475829169,99.22316061155169,0.11962414673999433
